Time,Temperature,Humidity,Pressure
20251018134550,20.5,45.2,1013.25
20251018134551,20.7,44.8,1013.30
20251018134552,21.0,44.5,1013.28
20251018134553,21.2,44.1,1013.35
20251018134554,21.5,43.8,1013.40
20251018134555,21.8,43.5,1013.45
20251018134556,22.0,43.2,1013.50
20251018134557,22.3,42.9,1013.55
20251018134558,22.5,42.6,1013.60
20251018134559,22.8,42.3,1013.65
20251018134600,23.0,42.0,1013.70
20251018134601,23.2,41.7,1013.75
20251018134602,23.5,41.4,1013.80
20251018134603,23.8,41.1,1013.85
20251018134604,24.0,40.8,1013.90
